Address,City,ZIP Code,Township,Property Class Code,Neighborhood ID,Date Last Transferred,Sidewalks,Total Adj Value,Owner State,Owner ZIP Code
2020 BURCH ST,INDIANAPOLIS,46220-0000,0008,510,802274155,,N,195100,IN,46220-2110,
2101 E 65TH ST,INDIANAPOLIS,46220-0000,0008,510,802274155,,N,154400,IN,46220-0757,
6741 N OXFORD ST,INDIANAPOLIS,46220-0000,0008,511,801777200,,N,185700,IN,46220-2250,
5426 N KEYSTONE AV,INDIANAPOLIS,46220-0000,0008,447,8400320,,N,403000,WI,53562-0326,
5130 E 68TH ST,INDIANAPOLIS,46220-0000,0008,510,801166130,05/16/2017,N,193200,IN,46220-3929,
5260 E 68TH ST,INDIANAPOLIS,46220-0000,0008,510,801166130,09/18/2015,N,194900,IN,46220-3931,
6440 KNYGHTON RD,INDIANAPOLIS,46220-0000,0008,510,801166130,,N,367400,IN,46220-4960,
6240 KNYGHTON RD,INDIANAPOLIS,46220-0000,0008,510,801166130,06/07/2017,N,251600,IN,46220-4960,
6259 KNYGHTON RD,INDIANAPOLIS,46220-0000,0008,510,801166130,10/17/2017,N,371300,IN,46220-4959,
6456 GRAHAM RD,INDIANAPOLIS,46220-0000,0008,510,801166130,07/30/2009,N,242200,IN,46220-0000,
6358 GRAHAM RD,INDIANAPOLIS,46220-0000,0008,510,801166130,11/13/2017,N,249900,IN,46220-4942,
2558 E 55TH PL,INDIANAPOLIS,46220-0000,0008,350,8350900,,N,204700,IN,46220-4525,
4801 CAVENDISH RD,INDIANAPOLIS,46220-0000,0008,510,801865121,04/07/2011,N,188900,IN,46220-0000,
6817 RIVERFRONT AV,INDIANAPOLIS,46220-0000,0008,511,802276165,,N,63100,IN,46220-1265,
6143 ROBERTS PL,INDIANAPOLIS,46220-0000,0008,510,801865121,10/02/2013,N,178600,IN,46220-5245,
6004 LINTON LN,INDIANAPOLIS,46220-0000,0008,510,801865121,11/27/2017,N,182700,IN,46220-5359,
5812 LINTON LN,INDIANAPOLIS,46220-0000,0008,510,801865121,,N,162800,IN,46220-5355,
5601 KINGSLEY DR,INDIANAPOLIS,46220-0000,0008,510,802166150,05/15/2015,N,214300,IN,46220-3403,
3607 DELAWARE CMNS S DR,INDIANAPOLIS,46220-0000,0008,510,801766150,,N,490800,IN,46220-3743,
5220 E FALL CREEK PKWY N DR,INDIANAPOLIS,46220-0000,0008,686,890151100,,N,1271800,IN,46220-5601,
2130 KESSLER BLVD E DR,INDIANAPOLIS,46220-0000,0008,510,802179190,,N,233900,IN,46220-2403,
6609 TUXEDO LN,INDIANAPOLIS,46220-0000,0008,510,801777200,,N,284200,IN,46220-7703,
6617 N OAKLAND AV,INDIANAPOLIS,46220-0000,0008,510,801777200,04/24/2013,N,172800,IN,46220-7707,
3619 PERIWINKLE WA,INDIANAPOLIS,46220-0000,0008,510,818480100,,N,167500,IN,46220-5499,
3624 PERIWINKLE CT,INDIANAPOLIS,46220-0000,0008,510,818480100,,N,169700,IN,46220-5497,
5658 FEN CT,INDIANAPOLIS,46220-0000,0008,510,818480100,12/08/2008,N,163500,IN,46220-7401,
5717 SPRUCE KNOLL CT,INDIANAPOLIS,46220-0000,0008,510,801880102,,N,177600,IN,46220-6322,
920 E 62ND ST,INDIANAPOLIS,46220-0000,0008,550,803972225,06/29/2017,N,146100,IN,46220-1959,
6927 WESLEY CT,INDIANAPOLIS,46220-0000,0008,550,802472147,,N,195700,IN,46220-1131,
5347 N COLLEGE AV,INDIANAPOLIS,46220-0000,0008,550,806072215,07/24/2015,N,122800,IN,46530-9087,
5347 N COLLEGE AV,INDIANAPOLIS,46220-0000,0008,550,806072215,11/22/2016,N,111600,IN,46220-3174,
5347 N COLLEGE AV,INDIANAPOLIS,46220-0000,0008,550,806072215,,N,111600,IN,46220-0000,
5608 RALSTON AV,INDIANAPOLIS,46220-0000,0008,510,802178185,10/31/2017,N,171300,IN,46220-3428,
4750 E 64TH ST,INDIANAPOLIS,46220-0000,0008,511,801166130,05/27/2016,N,180800,IN,46220-4524,
6741 N OXFORD ST,INDIANAPOLIS,46220-0000,0008,501,815077150,,N,5100,IN,46220-2250,
8151 N ILLINOIS ST,INDIANAPOLIS,46220-0000,0008,501,819577195,05/31/2017,N,6600,IN,46260-2940,
4821 E 71ST ST,INDIANAPOLIS,46220-0000,0008,511,801166130,07/28/2015,N,249400,IN,46220-3889,
6821 LAKEKNOLL DR,INDIANAPOLIS,46220-0000,0004,510,403782138,,N,154500,IN,46220-4157,
5909 LAKELAND DR,INDIANAPOLIS,46220-0000,0004,510,403782138,,N,149100,IN,46220-4167,
5019 FALL CREEK RD,INDIANAPOLIS,46220-0000,0004,510,404182174,09/13/2016,N,404300,IN,46220-5783,
5121 FALL CREEK RD,INDIANAPOLIS,46220-0000,0004,510,404182174,09/15/2017,N,518100,IN,46220-5048,
6440 HARBRIDGE RD,INDIANAPOLIS,46220-0000,0004,510,403982139,07/17/2017,N,209000,IN,46220-4950,
6326 HARBRIDGE RD,INDIANAPOLIS,46220-0000,0004,510,403982139,,N,257900,IN,46220-4946,
6356 AVALON LN,INDIANAPOLIS,46220-0000,0004,510,435082150,,N,355800,IN,46220-5010,
6337 MACATUCK DR,INDIANAPOLIS,46220-0000,0004,510,435082150,01/21/2016,N,369500,IN,46220-5036,
2808 CANTERBURY LN,INDIANAPOLIS,46220-0000,0008,510,802271150,04/16/2019,N,139500,IN,46220-2243,
5917 CARROLLTON AV,INDIANAPOLIS,46220-0000,0008,511,822577225,,N,211700,IN,46220-2619,
4316 SAGAMORE TR,INDIANAPOLIS,46220-0000,0008,510,801966102,,N,129700,IN,46220-5753,
3760 E 55TH ST,INDIANAPOLIS,46220-0000,0008,510,801970120,04/11/2013,N,166400,IN,46220-0000,
4220 GREENWAY DR,INDIANAPOLIS,46220-0000,0008,510,801980107,11/10/2014,N,66500,IN,46220-5743,
6904 N OXFORD ST,INDIANAPOLIS,46220-0000,0008,510,802269135,11/29/2010,N,143000,IN,46220-0000,
4309 DAHLIA CT,INDIANAPOLIS,46220-0000,0008,510,801980107,01/03/2018,N,76500,IN,46220-5729,
4301 DAHLIA CT,INDIANAPOLIS,46220-0000,0008,510,801980107,07/02/2008,N,60600,IN,46220-5727,
3853 NESBITT RD,INDIANAPOLIS,46220-0000,0008,510,801769162,12/16/2016,N,902700,IN,46220-3751,
1935 E 68TH ST,INDIANAPOLIS,46220-0000,0008,510,802282100,,N,47400,IN,46250-1744,
5709 BROWNSTONE DR,INDIANAPOLIS,46220-0000,0008,550,801972136,02/17/2017,N,122000,IN,46220-5851,
6316 DAWSON LAKE DR,INDIANAPOLIS,46220-0000,0008,510,802280174,05/18/2018,N,1028700,IN,46220-7110,
6355 OXBOW WA,INDIANAPOLIS,46220-0000,0008,500,802280174,,N,30200,IN,46220-7109,
6440 CHERBOURG CI,INDIANAPOLIS,46220-0000,0004,510,404582138,05/14/2013,N,415500,IN,46220-6011,
6410 CHERBOURG DR,INDIANAPOLIS,46220-0000,0004,510,404582138,03/25/2011,N,385200,IN,46220-0000,
6329 CHERBOURG DR,INDIANAPOLIS,46220-0000,0004,510,404582138,06/23/2017,N,439500,IN,46220-6008,
6442 CALAIS DR,INDIANAPOLIS,46220-0000,0004,510,404582138,,N,470800,IN,46220-6000,
5435 FALL CREEK RD,INDIANAPOLIS,46220-0000,0004,510,404182174,08/23/2016,N,446700,IN,46220-5054,
2736 CANTERBURY LN,INDIANAPOLIS,46220-0000,0008,510,802271150,06/29/2017,N,147600,IN,46220-2241,
2835 CANTERBURY LN,INDIANAPOLIS,46220-0000,0008,510,802271150,,N,148300,IN,46220-2240,
3135 E 71ST ST,INDIANAPOLIS,46220-0000,0008,511,801665125,,N,141500,IN,46220-3707,
6820 HAWTHORN PARK DR,INDIANAPOLIS,46220-0000,0008,350,8350907,,N,48400,IN,46250-0000,
5916 CRITTENDEN AV,INDIANAPOLIS,46220-0000,0008,510,841075215,09/24/2013,N,199800,IN,46220-2440,
41 E 54TH ST,INDIANAPOLIS,46220-0000,0008,510,802175155,,N,314700,IN,46220-3079,
5930 KESSLER LN,INDIANAPOLIS,46220-0000,0008,510,801869130,11/17/2015,N,171100,IN,46220-5210,
5935 COMPTON ST,INDIANAPOLIS,46220-0000,0008,510,802174175,06/01/2009,N,193300,IN,46220-0000,
6481 N PARK AV,INDIANAPOLIS,46220-0000,0008,510,802488202,12/13/2018,N,306700,IN,46220-1634,
6050 CENTRAL AV,INDIANAPOLIS,46220-0000,0008,510,803275225,11/13/2017,N,261900,IN,46220-1810,
6474 BROADWAY ST,INDIANAPOLIS,46220-0000,0008,510,802488202,10/28/2014,N,215600,IN,46220-1633,
6017 INDIANOLA AV,INDIANAPOLIS,46220-0000,0008,510,802178185,05/12/2016,N,250800,IN,46220-2013,
5631 N WASHINGTON BL,INDIANAPOLIS,46220-0000,0008,510,842975255,,N,648300,IN,46220-3027,
6302 RUCKER RD,INDIANAPOLIS,46220-0000,0008,447,8447304,,N,94200,OH,45439-2255,
3835 E 71ST ST,INDIANAPOLIS,46220-0000,0008,511,815077150,,N,561400,IN,46220-3715,
6284 RUCKER RD,INDIANAPOLIS,46220-0000,0008,447,8447304,04/11/2018,N,24700,IN,46032-2167,
3550 KESSLER BLVD E DR,INDIANAPOLIS,46220-0000,0008,510,801871160,,N,215600,IN,46220-5155,
6848 STEINMEIER LN,INDIANAPOLIS,46220-0000,0008,510,801180110,04/26/2012,N,190200,IN,46220-3954,
5347 STEINMEIER DR N,INDIANAPOLIS,46220-0000,0008,510,801180110,04/19/2018,N,200200,IN,46220-3969,
6419 OXBOW WA,INDIANAPOLIS,46220-0000,0008,500,802280174,,N,137300,IN,46220-7108,
5529 FALL CREEK RD,INDIANAPOLIS,46220-0000,0004,510,404182174,,N,406500,IN,46220-5020,
6213 NORWALDO AV,INDIANAPOLIS,46220-0000,0008,510,802271150,,N,214300,IN,46220-2130,
4749 KESSLER VIEW DR,INDIANAPOLIS,46220-0000,0008,511,801969116,,N,117500,IN,46220-5373,
6120 N TUXEDO ST,INDIANAPOLIS,46220-0000,0008,510,801871160,,N,190600,IN,46220-5175,
3840 E 71ST ST,INDIANAPOLIS,46220-0000,0008,510,801666145,,N,260300,IN,46220-3716,
2542 PARR DR,INDIANAPOLIS,46220-0000,0008,510,802274155,,N,134400,IN,46220-1326,
2530 PARR DR,INDIANAPOLIS,46220-0000,0008,510,802274155,09/26/2018,N,141800,IN,46220-1326,
4622 VERA DR,INDIANAPOLIS,46220-0000,0008,510,801865121,09/22/2010,N,154500,IN,46220-0000,
4507 KESSLER LN E DR,INDIANAPOLIS,46220-0000,0008,510,801865121,,N,145000,IN,46220-5205,
3510 DELMAR RD,INDIANAPOLIS,46220-0000,0008,500,801965093,,N,2900,IN,46220-5570,
5427 SENECA DR,INDIANAPOLIS,46220-0000,0008,510,801966102,,N,151100,IN,46220-5757,
5336 SENECA DR,INDIANAPOLIS,46220-0000,0008,510,801966102,,N,144200,IN,46220-5767,
3741 E 55TH ST,INDIANAPOLIS,46220-0000,0008,510,801970120,,N,127100,IN,46220-5534,
3770 E 55TH ST,INDIANAPOLIS,46220-0000,0008,510,801970120,04/18/2012,N,176900,IN,46220-0000,
5162 BOARDWALK PL,INDIANAPOLIS,46220-0000,0004,550,471480168,07/24/2008,N,351200,IN,46220-5383,
5809 WINTHROP AV,INDIANAPOLIS,46220-0000,0008,510,803275225,05/10/2012,N,386300,IN,46220-0000,
6130 N PARK AV,INDIANAPOLIS,46220-0000,0008,510,803875200,,N,190200,IN,46220-1844,
519 E 58TH ST,INDIANAPOLIS,46220-0000,0008,510,803275225,,N,285500,IN,46220-2559,
5925 NORWALDO AV,INDIANAPOLIS,46220-0000,0008,510,841075215,09/30/2010,N,217400,IN,46220-0000,
5863 N DELAWARE ST,INDIANAPOLIS,46220-0000,0008,510,803275225,,N,338500,IN,46220-2527,
6037 CENTRAL AV,INDIANAPOLIS,46220-0000,0008,510,803675215,,N,233900,IN,46220-1809,
5825 N PENNSYLVANIA ST,INDIANAPOLIS,46220-0000,0008,510,803275225,,N,624700,IN,46220-2536,
1626 E 71ST ST,INDIANAPOLIS,46220-0000,0008,640,6001500,,N,0,IN,46204-3387,
336 E 60TH ST,INDIANAPOLIS,46220-0000,0008,510,803275225,08/07/2018,N,358600,IN,46222-1905,
5501 N PENNSYLVANIA ST,INDIANAPOLIS,46220-0000,0008,510,822575200,07/07/2011,N,478500,IN,46220-3023,
5665 WINTHROP AV,INDIANAPOLIS,46220-0000,0008,510,803275225,06/06/2017,N,462000,IN,46220-3264,
2915 PARR DR,INDIANAPOLIS,46220-0000,0008,510,802269135,07/24/2012,N,110100,IN,46220-0000,
6703 N EWING ST,INDIANAPOLIS,46220-0000,0008,510,801765120,,N,413800,IN,46220-3750,
6626 N OLNEY ST,INDIANAPOLIS,46220-0000,0008,510,801765120,07/12/2011,N,292800,IN,46220-0000,
7051 STEINMEIER DR,INDIANAPOLIS,46220-0000,0008,510,801180110,11/07/2014,N,189200,IN,46220-3953,
5728 HILLSIDE AV,INDIANAPOLIS,46220-0000,0008,501,822077220,,N,2400,IN,46220-2811,
4524 SPRUCE KNOLL LN,INDIANAPOLIS,46220-0000,0008,510,801880102,04/01/2014,N,184000,IN,46220-6332,
4727 E 64TH ST,INDIANAPOLIS,46220-0000,0008,511,801166130,05/11/2017,N,193000,IN,46220-4523,
818 E 55TH ST,INDIANAPOLIS,46220-0000,0008,510,812775225,10/28/2014,N,226900,IN,46220-3114,
6154 CRITTENDEN AV,INDIANAPOLIS,46220-0000,0008,510,802181205,05/19/2014,N,195500,IN,46220-2306,
6037 CRITTENDEN AV,INDIANAPOLIS,46220-0000,0008,510,802181205,01/29/2015,N,175000,IN,46220-2303,
5402 N DREXEL AV,INDIANAPOLIS,46220-0000,0008,500,801969116,,N,28000,IN,46220-5734,
5569 N DREXEL AV,INDIANAPOLIS,46220-0000,0008,510,801969116,12/03/2010,N,133700,IN,46220-0000,
5860 N WASHINGTON BL,INDIANAPOLIS,46220-0000,0008,510,803275225,,N,483800,IN,46220-2541,
5406 CARROLLTON AV,INDIANAPOLIS,46220-0000,0008,510,812775225,,N,206000,IN,46220-3119,
4852 E 64TH ST,INDIANAPOLIS,46220-0000,0008,511,813577135,10/17/2017,N,156200,IN,46220-4728,
6924 N TUXEDO ST,INDIANAPOLIS,46220-0000,0008,510,802266120,,N,323000,IN,46220-3776,
3420 E 69TH ST,INDIANAPOLIS,46220-0000,0008,510,802266120,,N,205700,IN,46220-3706,
6623 LAKEKNOLL DR,INDIANAPOLIS,46220-0000,0004,510,403782138,,N,140400,IN,46220-4157,
5917 LAKELAND DR,INDIANAPOLIS,46220-0000,0004,510,403782138,04/11/2018,N,136700,IN,46220-4169,
5830 LAKELAND DR,INDIANAPOLIS,46220-0000,0004,510,403782138,12/01/2010,N,143400,IN,46220-0000,
5838 LAKELAND DR,INDIANAPOLIS,46220-0000,0004,510,403782138,03/08/2013,N,142900,IN,46220-0000,
6155 AFTON CREST,INDIANAPOLIS,46220-0000,0004,510,435082150,,N,286500,IN,46220-5003,
6250 AZURE LN,INDIANAPOLIS,46220-0000,0004,510,435082150,,N,315900,IN,46220-5015,
6105 SHAWNEE TR,INDIANAPOLIS,46220-0000,0004,511,483677088,12/30/2016,N,318400,IN,46220-5069,
6150 GREEN LEAVES CI,INDIANAPOLIS,46220-0000,0004,510,403982139,09/12/2014,N,195700,IN,46220-5056,
5801 N EMERSON AV,INDIANAPOLIS,46220-0000,0004,510,403982139,09/07/2011,N,261000,IN,46220-5333,
6041 WEXFORD RD,INDIANAPOLIS,46220-0000,0004,510,403982139,,N,189300,IN,46220-5364,
6116 RUCKER RD,INDIANAPOLIS,46220-0000,0004,510,403982139,03/22/2016,N,253000,IN,46220-5066,
6140 GRAHAM RD,INDIANAPOLIS,46220-0000,0004,510,403982139,,N,264500,IN,46220-4938,
6110 GRAHAM RD,INDIANAPOLIS,46220-0000,0004,510,403982139,10/21/2016,N,405400,IN,46220-4938,
6409 GRAHAM RD,INDIANAPOLIS,46220-0000,0004,500,403982139,,N,12400,IN,46220-4991,
6441 BROKENHURST RD,INDIANAPOLIS,46220-0000,0004,510,403982139,,N,208500,IN,46220-4929,
6464 BREAMORE RD,INDIANAPOLIS,46220-0000,0004,510,403982139,06/20/2016,N,230900,IN,46220-4926,
5874 E FALL CREEK PW N DR,INDIANAPOLIS,46220-0000,0004,510,404182174,06/11/2018,N,564400,IN,46226-1051,
1905 E 67TH ST,INDIANAPOLIS,46220-0000,0008,510,802278190,03/20/2014,N,74900,IN,46220-1215,
6235 KINGSLEY DR,INDIANAPOLIS,46220-0000,0008,510,802178185,,N,193100,IN,46220-2128,
5712 N WASHINGTON BL,INDIANAPOLIS,46220-0000,0008,510,803175185,,N,469000,IN,46220-2541,
6132 WINTHROP AV,INDIANAPOLIS,46220-0000,0008,510,803975250,,N,189900,IN,46220-1942,
5685 CENTRAL AV,INDIANAPOLIS,46220-0000,0008,510,803082100,04/23/2012,N,403400,IN,46220-0000,
6138 N PARK AV,INDIANAPOLIS,46220-0000,0008,510,803275225,,N,169400,WA,98516-3836,
5868 N NEW JERSEY ST,INDIANAPOLIS,46220-0000,0008,510,803275225,01/21/2010,N,320000,IN,46220-0000,
5650 BROADWAY ST,INDIANAPOLIS,46220-0000,0008,510,803075210,,N,325500,IN,46220-3069,
5932 BROADWAY ST,INDIANAPOLIS,46220-0000,0008,510,803275225,09/01/2016,N,248200,IN,46112-8719,
5650 N OXFORD ST,INDIANAPOLIS,46220-0000,0008,510,802166150,12/30/2016,N,170100,IN,46220-2905,
5826 N OXFORD ST,INDIANAPOLIS,46220-0000,0008,510,802166150,,N,177400,IN,46220-2920,
5845 N OXFORD ST,INDIANAPOLIS,46220-0000,0008,510,802166150,,N,186200,IN,46220-2957,
5742 N PARKER AV,INDIANAPOLIS,46220-0000,0008,510,802166150,04/19/2018,N,171100,IN,46220-2954,
5842 N PARKER AV,INDIANAPOLIS,46220-0000,0008,510,802166150,09/11/2017,N,195300,IN,46220-2928,
5837 N PARKER AV,INDIANAPOLIS,46220-0000,0008,510,802166150,04/06/2018,N,192900,IN,46220-2927,
5741 N PARKER AV,INDIANAPOLIS,46220-0000,0008,510,802166150,,N,149200,IN,46220-2953,
5821 GUILFORD AV,INDIANAPOLIS,46220-0000,0008,510,803275225,02/11/2019,N,416600,IN,46220-0000,
6061 N EWING ST,INDIANAPOLIS,46220-0000,0008,510,801871160,,N,200700,IN,46220-5144,
5818 N DEARBORN ST,INDIANAPOLIS,46220-0000,0008,500,802166150,12/01/2014,N,9100,IN,46220-5407,
5825 N DEARBORN ST,INDIANAPOLIS,46220-0000,0008,510,802166150,10/08/2012,N,176000,IN,46220-5407,
5842 N LA SALLE ST,INDIANAPOLIS,46220-0000,0008,510,802166150,,N,217000,IN,46220-5414,
5241 ROSSLYN AV,INDIANAPOLIS,46220-0000,0008,510,802079190,,N,142500,IN,46220-3320,
6048 N KEYSTONE AV,INDIANAPOLIS,46220-0000,0008,447,8447307,08/13/2010,N,220100,IN,46250-0000,
6047 HILLSIDE AVE E DR,INDIANAPOLIS,46220-0000,0008,510,802179190,,N,226700,IN,46220-2415,
4845 E 56TH ST,INDIANAPOLIS,46220-0000,0008,511,817577175,11/13/2017,N,143000,IN,46220-5717,
5410 ALLISONVILLE RD,INDIANAPOLIS,46220-0000,0008,510,802069145,08/08/2017,N,419400,IN,46220-5547,
6625 CHESTER W DR,INDIANAPOLIS,46220-0000,0008,510,801769162,,N,416600,IN,46220-3731,
5377 STEINMEIER DR N,INDIANAPOLIS,46220-0000,0008,510,801180110,,N,186700,IN,46220-3969,
5328 STEINMEIER DR N,INDIANAPOLIS,46220-0000,0008,510,801180110,03/09/2017,N,167900,IN,46220-3966,
5763 SPRUCE KNOLL CI,INDIANAPOLIS,46220-0000,0008,510,801880102,,N,154300,IN,46220-0000,
6478 N OLNEY ST,INDIANAPOLIS,46220-0000,0008,510,802274155,01/08/2016,N,319800,IN,46220-4437,
5843 SHERMAN AV,INDIANAPOLIS,46220-0000,0008,510,801875135,,N,262500,CO,80502-0054,
5907 BIRCHWOOD AV,INDIANAPOLIS,46220-0000,0008,510,803775205,01/13/2016,N,138600,IN,46220-2660,
6606 N RILEY AV,INDIANAPOLIS,46220-0000,0008,510,801166130,07/08/2014,N,196500,IN,46220-3939,
5029 E 67TH ST,INDIANAPOLIS,46220-0000,0008,510,801166130,12/16/2011,N,179000,IN,46220-0000,
3210 E 71ST ST,INDIANAPOLIS,46220-0000,0008,510,801665125,12/20/2016,N,176300,IN,46220-3710,
5869 WYCOMBE LN,INDIANAPOLIS,46220-0000,0004,510,404182174,,N,474700,IN,46220-5368,
6390 MONITOR DR,INDIANAPOLIS,46220-0000,0008,511,801166130,,N,190100,IN,46220-4579,
6468 N OLNEY ST,INDIANAPOLIS,46220-0000,0008,510,802274155,08/23/2016,N,321600,IN,46220-4437,
1521 E 69TH ST,INDIANAPOLIS,46220-0000,0008,501,802276165,,N,2500,IN,46220-1223,
4027 WINDING WAY,INDIANAPOLIS,46220-0000,0008,510,801869130,04/15/2019,N,252700,IN,46220-5509,
6631 TUXEDO LN,INDIANAPOLIS,46220-0000,0008,510,801765120,04/23/2010,N,192500,IN,46220-0000,
6611 N OAKLAND AV,INDIANAPOLIS,46220-0000,0008,510,801765120,,N,385700,IN,46220-7707,
5698 HAVERFORD AV,INDIANAPOLIS,46220-0000,0008,510,802178185,05/17/2013,N,203900,IN,46220-3333,
1826 E 66TH ST,INDIANAPOLIS,46220-0000,0008,510,802278190,,N,161000,IN,46220-1202,
2314 E 58TH ST,INDIANAPOLIS,46220-0000,0008,510,802171170,02/10/2014,N,188700,IN,46220-2817,
2612 E NORTHGATE ST,INDIANAPOLIS,46220-0000,0008,510,802171170,07/17/2012,N,174700,IN,46220-0000,
6101 N SHERMAN DR,INDIANAPOLIS,46220-0000,0008,510,801871160,,N,204300,IN,46220-5178,
3785 E 62ND ST,INDIANAPOLIS,46220-0000,0008,510,801871160,,N,339700,IN,46220-4407,
5931 N EWING ST,INDIANAPOLIS,46220-0000,0008,510,801871160,,N,193100,IN,46220-5142,
5711 INDIANOLA AV,INDIANAPOLIS,46220-0000,0008,510,802178185,09/30/2015,N,152300,IN,46220-2772,
5836 ALLISONVILLE RD,INDIANAPOLIS,46220-0000,0008,511,815577155,,N,240500,IN,46220-5526,
5814 N KEYSTONE AV,INDIANAPOLIS,46220-0000,0008,520,802182100,,N,292800,IN,46230-0043,
5710 HAVERFORD AV,INDIANAPOLIS,46220-0000,0008,510,802178185,,N,227300,IN,46220-2769,
6111 EVANSTON AV,INDIANAPOLIS,46220-0000,0008,510,802178185,10/10/2012,N,193400,IN,46220-0000,
6106 BURLINGTON AV,INDIANAPOLIS,46220-0000,0008,510,802178185,,N,183000,IN,46220-2410,
231 E 62ND ST,INDIANAPOLIS,46220-0000,0008,510,802470157,02/06/2019,N,192600,IN,46220-1817,
6111 GUILFORD AV,INDIANAPOLIS,46220-0000,0008,510,803975250,,N,210300,IN,46220-1939,
5314 GUILFORD AV,INDIANAPOLIS,46220-0000,0008,510,822475175,,N,148300,IN,46220-3207,
6470 N PARK AV,INDIANAPOLIS,46220-0000,0008,510,802488202,09/02/2009,N,193700,IN,46220-0000,
1847 BROAD RIPPLE AV,INDIANAPOLIS,46220-0000,0008,510,802181205,07/24/2018,N,204900,IN,46220-2339,
6105 GUILFORD AV,INDIANAPOLIS,46220-0000,0008,510,803975250,06/11/2013,N,276000,IN,46220-1939,
5683 GUILFORD AV,INDIANAPOLIS,46220-0000,0008,510,803275225,08/26/2009,N,326400,IN,46220-0000,
5751 N WASHINGTON BL,INDIANAPOLIS,46220-0000,0008,510,803175185,08/28/2018,N,501500,IN,46220-2540,
736 CARROLLTON CT,INDIANAPOLIS,46220-0000,0008,510,862475209,05/24/2017,N,221600,IN,46220-3124,
5927 NORWALDO AV,INDIANAPOLIS,46220-0000,0008,510,841075215,12/01/2015,N,201400,IN,46256-2145,
5441 BROADWAY ST,INDIANAPOLIS,46220-0000,0008,510,803075210,,N,283200,IN,46220-3068,
5883 N WASHINGTON BL,INDIANAPOLIS,46220-0000,0008,510,803275225,06/23/2011,N,753000,IN,46220-0000,
5344 N PARK AV,INDIANAPOLIS,46220-0000,0008,510,832375211,02/13/2013,N,233400,IN,46220-0000,
524 E 54TH ST,INDIANAPOLIS,46220-0000,0008,510,802666135,,N,241100,IN,46220-3065,
5220 CENTRAL AV,INDIANAPOLIS,46220-0000,0008,510,802275235,,N,371100,IN,46220-3039,
5781 N WASHINGTON BL,INDIANAPOLIS,46220-0000,0008,510,803275225,06/06/2014,N,624800,IN,46220-2540,
1238 WESTFIELD CT,INDIANAPOLIS,46220-0000,0008,521,802376225,,N,190700,IN,46250-2543,
2728 E 67TH ST,INDIANAPOLIS,46220-0000,0008,510,802271150,05/21/2018,N,124200,IN,46220-2281,
6661 PARKER LN,INDIANAPOLIS,46220-0000,0008,510,802271150,,N,113900,IN,46220-2258,
5729 N RURAL ST,INDIANAPOLIS,46220-0000,0008,510,802166150,08/22/2012,N,154100,IN,46220-0000,
5045 E 68TH ST,INDIANAPOLIS,46220-0000,0008,510,801166130,,N,183400,IN,46220-3926,
6406 KNYGHTON RD,INDIANAPOLIS,46220-0000,0008,510,801166130,,N,251200,IN,46220-4960,
6310 BRAMSHAW RD,INDIANAPOLIS,46220-0000,0008,510,801166130,,N,250100,IN,46220-4912,
6345 BRAMSHAW RD,INDIANAPOLIS,46220-0000,0008,510,801166130,02/20/2019,N,216100,IN,46220-0000,
6431 GRAHAM RD,INDIANAPOLIS,46220-0000,0008,510,801166130,11/21/2012,N,259800,IN,46220-0000,
6135 DORSETT PL,INDIANAPOLIS,46220-0000,0008,510,801865121,09/17/2009,N,158200,IN,46220-0000,
5635 N RURAL ST,INDIANAPOLIS,46220-0000,0008,510,802166150,05/10/2017,N,211400,IN,46220-2937,
5638 N OXFORD ST,INDIANAPOLIS,46220-0000,0008,510,802166150,,N,186600,IN,46220-2905,
5809 N OXFORD ST,INDIANAPOLIS,46220-0000,0008,510,802166150,02/08/2019,N,147900,IN,46220-2957,
5643 N OXFORD ST,INDIANAPOLIS,46220-0000,0008,510,802166150,05/05/2017,N,180700,IN,46220-2904,
5631 N PARKER AV,INDIANAPOLIS,46220-0000,0008,510,802166150,,N,143600,IN,46220-2951,
6316 GREEN LEAVES RD,INDIANAPOLIS,46220-0000,0008,510,801166130,08/19/2016,N,237000,IN,46220-4813,
6116 LINTON LN,INDIANAPOLIS,46220-0000,0008,510,801865121,,N,151000,IN,46220-5781,
5860 ANDOVER RD,INDIANAPOLIS,46220-0000,0008,510,801865121,09/29/2010,N,133000,IN,46220-0000,
5820 ANDOVER RD,INDIANAPOLIS,46220-0000,0008,510,801865121,,N,179200,IN,46220-5319,
4722 CAVENDISH RD,INDIANAPOLIS,46220-0000,0008,510,801865121,07/02/2012,N,229600,IN,46220-0000,
4607 CAVENDISH RD,INDIANAPOLIS,46220-0000,0008,510,801865121,,N,212500,IN,46220-5324,
4815 CAVENDISH RD,INDIANAPOLIS,46220-0000,0008,510,801865121,09/09/2010,N,208600,IN,46282-0000,
5918 BROADWAY ST,INDIANAPOLIS,46220-0000,0008,500,803075210,01/25/2018,N,21200,IN,46220-2506,
5518 CARROLLTON AV,INDIANAPOLIS,46220-0000,0008,510,812775225,,N,275800,IN,46220-3119,
5546 N DELAWARE ST,INDIANAPOLIS,46220-0000,0008,510,822575200,02/25/2015,N,341600,IN,46220-3016,
5662 CARROLLTON AV,INDIANAPOLIS,46220-0000,0008,510,803275225,07/10/2015,N,377300,IN,46220-3162,
